bot-Va1 (V),bot-Vd1 (V),bot-Va2 (V),bot-Vd2 (V),top-Va1 (V),top-Vd1 (V),top-Va2 (V),top-Vd2 (V)
1A,2.48,3.52,2.48,3.56,2.49,3.53,2.48,3.56
1B,2.49,3.57,2.48,3.59,2.48,3.57,2.47,3.59
1C,2.44,3.52,2.45,3.52,2.44,3.52,2.45,3.49
1D,2.46,3.5,2.42,3.52,2.42,3.51,2.44,3.5
2A,2.41,3.52,2.45,3.5,2.4,3.49,2.4,3.5
2B,2.49,3.6,2.49,3.58,2.47,3.56,2.49,3.56
2C,2.41,3.45,2.42,3.45,2.47,3.46,2.45,3.47
2D,2.44,3.51,2.45,3.5,2.49,3.5,2.46,3.52
3A,2.44,3.49,2.45,3.52,2.46,3.5,2.41,3.5
3B,2.49,3.55,2.48,3.56,2.48,3.53,2.47,3.54
3C,2.45,3.44,2.42,3.43,2.45,3.41,2.45,3.44
3D,2.44,3.45,2.45,3.45,2.44,3.47,2.47,3.48
