,Portcard power,,,,,,,,,DCU ave (V),DCU direct (V),<DCU ave> (rel),<DCU dir> (rel),,,,,,,,
portcard,HC1-BmI,,,HC4-BpO,,,,HC3-BpI,,,,HC2-BmO,,,,portcard,-0.0336767266,0.0003821696425,-0.03818744759,-0.002324745072,Average
,direct meas. (V),DCU meas. (V),input (V),direct meas. (V),DCU meas. (LSB),DCU meas. (V),DCU* meas. (V),direct meas. (V),DCU meas. (LSB),DCU meas. (V),DCU* meas. (V),direct meas. (V),DCU meas. (LSB),DCU meas. (V),DCU* meas. (V),,0.009817204933,0.00345500505,0.007930436524,0.002544505451,AverageDev
B1A,N/A,N/A,,,,0,,,,0,,,,,,B1A,,,,,
T1A,N/A,N/A,,2.52,2.689,2.4201,2.514813765,,,0,,2.53,2.712,2.4408,2.515951807,T1A,,,-0.035256917,-0.005552645364,
B1B,N/A,N/A,,,,0,,,,0,,,,0,,B1B,,,,,
T1B,N/A,N/A,,2.51,2.663,2.3967,2.511853818,,,0,,2.53,2.695,2.4255,2.520425101,T1B,,,-0.04130434783,-0.003784544974,
B1C,N/A,N/A,,,,0,,,,0,,,,0,,B1C,,,,,
T1C,N/A,N/A,,2.52,2.732,2.4588,2.518324022,,,0,,2.53,2.654,2.3886,2.523976945,T1C,,,-0.05588932806,-0.002380654053,
B1D,N/A,N/A,,,,0,,,,0,,,,0,,B1D,,,,,
T1D,N/A,N/A,,2.51,2.673,2.4057,2.501876013,,,0,,2.53,2.727,2.4543,2.520756303,T1D,,,-0.02992094862,-0.003653635367,
B2A,N/A,N/A,,,,0,,N/A,,0,,,,0,,B2A,,,,,
T2A,N/A,N/A,,2.46,2.742,2.4678,2.501587678,2.53,2.696,2.4264,2.5275,2.53,2.705,2.4345,2.526708451,T2A,-0.0409486166,-0.0009881422925,-0.03774703557,-0.001301007402,
B2B,N/A,N/A,,,,0,,N/A,,0,,,,0,,B2B,,,,,
T2B,N/A,N/A,,2.48,2.648,2.3832,2.495667075,2.53,2.772,2.4948,2.536973059,2.53,2.681,2.4129,2.532969325,T2B,-0.01391304348,0.002756149659,-0.04628458498,0.001173646306,
B2C,N/A,N/A,,,,0,,N/A,,0,,,,0,,B2C,,,,,
T2C,N/A,N/A,,2.51,2.655,2.3895,2.503285714,2.52,2.696,2.4264,2.542980808,2.53,2.733,2.4597,2.533398876,T2C,-0.03714285714,0.00911936845,-0.02778656126,0.001343429409,
B2D,N/A,N/A,,,,0,,N/A,,0,,,,0,,B2D,,,,,
T2D,N/A,N/A,,2.5,2.647,2.3823,2.490659878,2.53,2.755,2.4795,2.532451253,2.53,2.756,2.4804,2.539433586,T2D,-0.01996047431,0.000968874894,-0.01960474308,0.003728690102,
B3A,N/A,N/A,,,,0,,N/A,,0,,,,0,,B3A,,,,,
T3A,N/A,N/A,,2.55,2.764,2.4876,2.548838323,2.53,2.742,2.4678,2.556101695,2.55,2.701,2.4309,2.540435668,T3A,-0.02458498024,0.01031687546,-0.04670588235,-0.003750718528,
B3B,N/A,N/A,,,,0,,N/A,,0,,,,0,,B3B,,,,,
T3B,N/A,N/A,,2.55,2.735,2.4615,2.541371681,2.54,2.734,2.4606,2.550702746,2.55,2.731,2.4579,2.546875252,T3B,-0.03125984252,0.004213679671,-0.03611764706,-0.001225391247,
B3C,N/A,N/A,,,,0,,N/A,,0,,,,0,,B3C,,,,,
T3C,N/A,N/A,,2.55,2.747,2.4723,2.545354994,2.54,2.709,2.4381,2.532492918,2.55,2.699,2.4291,2.544771429,T3C,-0.04011811024,-0.002955544155,-0.04741176471,-0.002050420168,
B3D,N/A,N/A,,,,0,,N/A,,0,,,,0,,B3D,,,,,
T3D,N/A,N/A,,2.55,2.72,2.448,2.539692805,2.54,2.698,2.4282,2.534518097,2.54,2.742,2.4678,2.528550898,T3D,-0.04401574803,-0.002158229611,-0.02842519685,-0.004507520392,
,,,,,,,,,,,,,,,,,,,,,
,Va1,,,,,,,,,,,,,,,,,,,,
portcard,HC1-BmI,,,HC4-BpO,,,,HC3-BpI,,,,HC2-BmO,,,,portcard,,,,,
,direct meas. (V),DCU meas. (V),,direct meas. (V),DCU meas. (LSB),DCU meas. (V),DCU* meas. (V),direct meas. (V),DCU meas. (LSB),DCU meas. (V),DCU* meas. (V),direct meas. (V),DCU meas. (LSB),DCU meas. (V),DCU* meas. (V),,,,,,
B1A,N/A,N/A,,,,0,,,,0,,,,,,B1A,,,,,
T1A,N/A,N/A,,2.45,2.621,2.3589,2.451218623,,,0,,2.44,2.613,2.3517,2.424108434,T1A,,,-0.03618852459,-0.006512936994,
B1B,N/A,N/A,,,,0,,,,0,,,,0,,B1B,,,,,
T1B,N/A,N/A,,2.45,2.591,2.3319,2.443940384,,,0,,2.43,2.587,2.3283,2.419421053,T1B,,,-0.04185185185,-0.004353476283,
B1C,N/A,N/A,,,,0,,,,0,,,,0,,B1C,,,,,
T1C,N/A,N/A,,2.4,2.601,2.3409,2.397569832,,,0,,2.38,2.492,2.2428,2.369913545,T1C,,,-0.05764705882,-0.004238006442,
B1D,N/A,N/A,,,,0,,,,0,,,,0,,B1D,,,,,
T1D,N/A,N/A,,2.39,2.538,2.2842,2.375518639,,,0,,2.4,2.59,2.331,2.394117647,T1D,,,-0.02875,-0.002450980392,
B2A,N/A,N/A,,,,0,,,,0,,,,0,,B2A,,,,,
T2A,N/A,N/A,,2.3,2.625,2.3625,2.394845972,2.42,2.578,2.3202,2.416875,2.4,2.567,2.3103,2.397804286,T2A,-0.04123966942,-0.001291322314,-0.037375,-0.0009148807117,
B2B,N/A,N/A,,,,0,,,,0,,,,0,,B2B,,,,,
T2B,N/A,N/A,,2.43,2.571,2.3139,2.423096695,2.43,2.672,2.4048,2.445451664,2.43,2.571,2.3139,2.429042945,T2B,-0.01037037037,0.006358709475,-0.04777777778,-0.0003938498826,
B2C,N/A,N/A,,,,0,,,,0,,,,0,,B2C,,,,,
T2C,N/A,N/A,,2.43,2.555,2.2995,2.409,2.39,2.522,2.2698,2.378856676,2.38,2.568,2.3112,2.380449438,T2C,-0.05029288703,-0.00466247858,-0.02890756303,0.0001888395808,
B2D,N/A,N/A,,,,0,,,,0,,,,0,,B2D,,,,,
T2D,N/A,N/A,,2.45,2.592,2.3328,2.43890835,2.37,2.571,2.3139,2.363314763,2.42,2.61,2.349,2.404906262,T2D,-0.02367088608,-0.002820775008,-0.02933884298,-0.006237081626,
B3A,N/A,N/A,,,,0,,,,0,,,,0,,B3A,,,,,
T3A,N/A,N/A,,2.41,2.617,2.3553,2.413281437,2.41,2.598,2.3382,2.421864407,2.42,2.566,2.3094,2.413460912,T3A,-0.02979253112,0.004922990365,-0.04570247934,-0.002702102458,
B3B,N/A,N/A,,,,0,,,,0,,,,0,,B3B,,,,,
T3B,N/A,N/A,,2.44,2.608,2.3472,2.423362832,2.44,2.616,2.3544,2.440613893,2.43,2.591,2.3319,2.41631409,T3B,-0.03508196721,0.0002515956461,-0.04037037037,-0.005632061883,
B3C,N/A,N/A,,,,0,,,,0,,,,0,,B3C,,,,,
T3C,N/A,N/A,,2.41,2.589,2.3301,2.398953069,2.38,2.533,2.2797,2.36796034,2.405,2.549,2.2941,2.403342857,T3C,-0.04214285714,-0.005058680696,-0.04611226611,-0.000689040689,
B3D,N/A,N/A,,,,0,,,,0,,,,0,,B3D,,,,,
T3D,N/A,N/A,,2.4,2.556,2.3004,2.386564268,2.4,2.548,2.2932,2.393607157,2.36,2.553,2.2977,2.354263473,T3D,-0.0445,-0.002663684425,-0.02639830508,-0.002430731757,
,,,,,,,,,,,,,,,,,,,,,
,Vd1,,,,,,,,,,,,,,,,,,,,
portcard,HC1-BmI,,,HC4-BpO,,,,HC3-BpI,,,,HC2-BmO,,,,portcard,,,,,
,direct meas. (V),DCU meas. (V),,direct meas. (V),DCU meas. (LSB),DCU meas. (V),DCU* meas. (V),direct meas. (V),DCU meas. (LSB),DCU meas. (V),DCU* meas. (V),direct meas. (V),DCU meas. (LSB),DCU meas. (V),DCU* meas. (V),,,,,,
B1A,N/A,N/A,,,,0,,,,0,,,,,,B1A,,,,,
T1A,N/A,N/A,,3.43,3.65,3.285,3.413562753,,,0,,3.45,3.723,3.3507,3.45386747,T1A,,,-0.0287826087,0.001121005762,
B1B,N/A,N/A,,,,0,,,,0,,,,0,,B1B,,,,,
T1B,N/A,N/A,,3.47,3.666,3.2994,3.457925684,,,0,,3.47,3.689,3.3201,3.450036437,T1B,,,-0.04319884726,-0.005753188113,
B1C,N/A,N/A,,,,0,,,,0,,,,0,,B1C,,,,,
T1C,N/A,N/A,,3.42,3.7,3.33,3.410614525,,,0,,3.37,3.526,3.1734,3.353256484,T1C,,,-0.05833827893,-0.004968402329,
B1D,N/A,N/A,,,,0,,,,0,,,,0,,B1D,,,,,
