Official name of position,PC position phi,PC port
FPix_BmO_D1_BLD11_PNL2_RNG1,1Ta,6
FPix_BmO_D1_BLD10_PNL2_RNG1,1Ta,4
FPix_BmO_D1_BLD9_PNL2_RNG1,1Ta,2
FPix_BmO_D1_BLD8_PNL2_RNG1,1Tb,6
FPix_BmO_D1_BLD7_PNL2_RNG1,1Tb,2
FPix_BmO_D1_BLD6_PNL2_RNG1,1Tc,6
FPix_BmO_D1_BLD5_PNL2_RNG1,1Tc,4
FPix_BmO_D1_BLD4_PNL2_RNG1,1Tc,2
FPix_BmO_D1_BLD3_PNL2_RNG1,1Td,6
FPix_BmO_D1_BLD2_PNL2_RNG1,1Td,4
FPix_BmO_D1_BLD1_PNL2_RNG1,1Td,2
FPix_BmO_D1_BLD11_PNL1_RNG1,1Ba,6
FPix_BmO_D1_BLD10_PNL1_RNG1,1Ba,4
FPix_BmO_D1_BLD9_PNL1_RNG1,1Ba,2
FPix_BmO_D1_BLD8_PNL1_RNG1,1Bb,6
FPix_BmO_D1_BLD7_PNL1_RNG1,1Bb,2
FPix_BmO_D1_BLD6_PNL1_RNG1,1Bc,6
FPix_BmO_D1_BLD5_PNL1_RNG1,1Bc,4
FPix_BmO_D1_BLD4_PNL1_RNG1,1Bc,2
FPix_BmO_D1_BLD3_PNL1_RNG1,1Bd,6
FPix_BmO_D1_BLD2_PNL1_RNG1,1Bd,4
FPix_BmO_D1_BLD1_PNL1_RNG1,1Bd,2
FPix_BmO_D1_BLD17_PNL2_RNG2,1Ta,7
FPix_BmO_D1_BLD16_PNL2_RNG2,1Ta,5
FPix_BmO_D1_BLD15_PNL2_RNG2,1Ta,3
FPix_BmO_D1_BLD14_PNL2_RNG2,1Ta,1
FPix_BmO_D1_BLD13_PNL2_RNG2,1Tb,7
FPix_BmO_D1_BLD12_PNL2_RNG2,1Tb,5
FPix_BmO_D1_BLD11_PNL2_RNG2,1Tb,4
FPix_BmO_D1_BLD10_PNL2_RNG2,1Tb,3
FPix_BmO_D1_BLD9_PNL2_RNG2,1Tb,1
FPix_BmO_D1_BLD8_PNL2_RNG2,1Tc,7
FPix_BmO_D1_BLD7_PNL2_RNG2,1Tc,5
FPix_BmO_D1_BLD6_PNL2_RNG2,1Tc,3
FPix_BmO_D1_BLD5_PNL2_RNG2,1Tc,1
FPix_BmO_D1_BLD4_PNL2_RNG2,1Td,7
FPix_BmO_D1_BLD3_PNL2_RNG2,1Td,5
FPix_BmO_D1_BLD2_PNL2_RNG2,1Td,3
FPix_BmO_D1_BLD1_PNL2_RNG2,1Td,1
FPix_BmO_D1_BLD17_PNL1_RNG2,1Ba,7
FPix_BmO_D1_BLD16_PNL1_RNG2,1Ba,5
FPix_BmO_D1_BLD15_PNL1_RNG2,1Ba,3
FPix_BmO_D1_BLD14_PNL1_RNG2,1Ba,1
FPix_BmO_D1_BLD13_PNL1_RNG2,1Bb,7
FPix_BmO_D1_BLD12_PNL1_RNG2,1Bb,5
FPix_BmO_D1_BLD11_PNL1_RNG2,1Bb,4
FPix_BmO_D1_BLD10_PNL1_RNG2,1Bb,3
FPix_BmO_D1_BLD9_PNL1_RNG2,1Bb,1
FPix_BmO_D1_BLD8_PNL1_RNG2,1Bc,7
FPix_BmO_D1_BLD7_PNL1_RNG2,1Bc,5
FPix_BmO_D1_BLD6_PNL1_RNG2,1Bc,3
FPix_BmO_D1_BLD5_PNL1_RNG2,1Bc,1
FPix_BmO_D1_BLD4_PNL1_RNG2,1Bd,7
FPix_BmO_D1_BLD3_PNL1_RNG2,1Bd,5
FPix_BmO_D1_BLD2_PNL1_RNG2,1Bd,3
FPix_BmO_D1_BLD1_PNL1_RNG2,1Bd,1
,,
FPix_BmO_D2_BLD11_PNL2_RNG1,2Ta,6
FPix_BmO_D2_BLD10_PNL2_RNG1,2Ta,4
FPix_BmO_D2_BLD9_PNL2_RNG1,2Ta,2
FPix_BmO_D2_BLD8_PNL2_RNG1,2Tb,6
FPix_BmO_D2_BLD7_PNL2_RNG1,2Tb,2
FPix_BmO_D2_BLD6_PNL2_RNG1,2Tc,6
FPix_BmO_D2_BLD5_PNL2_RNG1,2Tc,4
FPix_BmO_D2_BLD4_PNL2_RNG1,2Tc,2
FPix_BmO_D2_BLD3_PNL2_RNG1,2Td,6
FPix_BmO_D2_BLD2_PNL2_RNG1,2Td,4
FPix_BmO_D2_BLD1_PNL2_RNG1,2Td,2
FPix_BmO_D2_BLD11_PNL1_RNG1,2Ba,6
FPix_BmO_D2_BLD10_PNL1_RNG1,2Ba,4
